15,LV1,,,,
敌人编号,敌人个数,出现间隔,出现时间（阶段）,阶段标记,路线
B1,2,1.2,3,0,C1-C6-D6-D9-A9
B1,2,1.2,9,0,C1-C6-D6-D9-A9
B1,2,1.2,15,0,C1-C6-D6-D9-A9
01,1,0,30.2,0,C1-C3-D3:15-C4-C6-D6-D9-A9
01,1,0,31.2,0,C1-C3-D3:25-C4-C6-D6-D9-A9
B1,2,1.2,32.2,0,C1-C6-D6-D9-A9
B1,2,1.2,39.2,0,C1-C6-D6-D9-A9
B1,2,1.2,45.2,0,C1-C6-D6-D9-A9
D1,1,0,60.4,0,D1-D5:5-A9
01,1,0,71.4,0,C1-C6-D6-D9-A9
01,1,0,76.4,0,C1-C6-D6-D9-A9
B1,2,1.2,81.4,0,C1-C6-D6-D9-A9
01,1,0,82.4,0,C1-C6-D6-D9-A9
B1,2,1.2,87.4,0,C1-C6-D6-D9-A9
D1,1,0,88.4,1,D1-D5:5-A9
