21, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
21,1,0,3,0,E11-E9:80-F8-F1
B1,1,0,6,0,E11-E9-F8-F1
B1,2,1,10,0,E11-E9-F8-F1
B1,2,1,14,0,E11-E9-F8-F1
19,1,0,19,0,C11-C9:90-B8-B1
01,3,6,30,0,C11-C9-B8-B1
O1,3,6,33,0,E11-E9-F8-F1
B1,2,1,50,0,E11-E9-F8-F1
01,2,4,51,0,C11-C9-B8-B1
B1,4,1,57,0,E11-E9-F8-F1
O1,1,0,61,0,C11-C9-B8-B1
01,2,1,77,0,C11-C9-B8-B1
A9,1,0,77,0,E11-E8:12-E7:12-F6-F1
O1,2,1,78,0,E11-E9-F8-F1
01,1,0,78,0,E11-E8:12-E7:12-F6-F1
19,1,0,78,0,C11-C8:12-C7:12-B6-B1
O1,1,0,86,0,C11-C9-B8-B1
A9,1,0,88,0,E11-E9-F8-F1
B1,2,1,95,0,E11-E9-F8-F1
B1,2,1,111,0,E11-E9-F8-F1
01,1,0,112,1,C11-C9-B8-B1
