17, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
O1,1,0,3,0,E2-E9-D9-D11-E11-E12
O1,2,2,9,0,E2-E9-D9-D11-E11-E12
O1,2,1,14,0,E2-E9-D9-D11-E11-E12
O1,2,2,20,0,E2-E9-D9-D11-E11-E12
O1,2,2,27,0,E2-E9-D9-D11-E11-E12
O1,2,2,33,0,E2-E9-D9-D11-E11-E12
O1,1,0,48,0,E2-E9-D9-D11-E11-E12
21,1,0,49,0,B3-C3:12-C7-E7-E9-D9-D11-E11-E12
O1,2,2,55,0,E2-E9-D9-D11-E11-E12
19,2,2,63,0,E2-E9-D9-D11-E11-E12
B1,3,0.8,80,0,E2-E9-D9-D11-E11-E12
D1,2,14,85,0,G2-E12
19,3,10,86,0,E2-E9-D9-D11-E11-E12
21,1,0,87,0,B3-C3:12-C7-E7-E9-D9-D11-E11-E12
B1,3,0.8,92,0,E2-E9-D9-D11-E11-E12
B1,3,0.8,102,0,E2-E9-D9-D11-E11-E12
B1,3,0.8,112,1,E2-E9-D9-D11-E11-E12
