31, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
B2,1,0,5,0,D11-D1
B2,2,2,13,0,D11-D1
17,1,0,22,0,D11-D1
D1,1,0,25,0,D11-D10:10-D1
B2,2,2,33,0,E11-E1
B2,2,2,37,0,C11-C1
17,1,0,45,0,E11-E1
17,1,0,47,0,D11-D1
17,1,0,49,0,C11-C1
01,1,0,55,0,E11-E1
19,1,0,57,0,D11-D1
01,1,0,59,0,C11-C1
B2,2,2,67,0,D11-D1
D1,1,0,71,0,D11-D10:10-D1
B2,2,2,81,0,D11-D1
17,1,0,92,0,E11-E1
A9,1,0,94,0,D11-D1
17,1,0,96,0,C11-C1
D1,1,0,99,0,D11-D10:10-D1
17,1,0,101,0,E11-E1
17,1,0,103,0,D11-D1
17,1,0,105,0,C11-C1
01,1,0,111,0,E11-E1
19,1,0,113,0,D11-D1
01,1,0,115,0,C11-C1
B2,2,2,122,0,E11-E1
B2,2,2,124,0,D11-D1
B2,2,2,126,0,C11-C1
A9,1,0,131,0,E11-E1
21,1,0,133,0,D11-D1
A9,1,0,135,1,C11-C1
