20, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
B1,2,1,5,0,E1-E8-B8-B10
B1,2,1,11,0,E1-E8-B8-B10
O1,1,0,12,0,A2-D2-D8-B8-B10
O1,1,0,17,1,A2-D2-D8-B8-B10
01,1,0,5,0,E1-E8-B8-B10
01,1,0,8,0,A2-D2-D8-B8-B10
01,1,0,18,0,E1-E8-B8-B10
01,1,0,23,0,A2-D2-D8-B8-B10
B2,2,1.3,29,0,E1-E8-B8-B10
O1,2,2,32,0,A2-D2-D8-B8-B10
19,1,0,35,1,A2-D2-D8-B8-B10
21,1,0,5,0,A2-B2:30-B5-D5-D8-B8-B10
21,1,0,5,0,G10-G9:30-G5-E5-E8-B8-B10
B2,5,10,7,0,E1-E8-B8-B10
B2,5,8,9,0,E1-E2-D8-B8-B10
B2,5,9,10,0,E1-E2-E7-D8-B8-B10
19,1,0,37,0,A2-D2-D8-B8-B10
19,1,0,41,0,G10-G9-G5-E5-E8-B8-B10
01,2,9,42,0,E1-E2-D8-B8-B10
01,1,0,46,1,G10-G9-G5-E5-E8-B8-B10
