24, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
B2,1,0,6,0,F11-F5-E5-E3-D3-D1
B2,2,1,12,0,B11-B5-C5-C3-D3-D1
B2,2,5,18,0,D11-D5-E5-E3-D3-D1
B2,2,5,19,0,D11-D5-C5-C3-D3-D1
17,2,7,32,0,F11-F5-E5-E3-D3-D1
01,2,7,35,0,B11-B5-C5-C3-D3-D1
A9,1,0,50,0,F11-F5-E5-E3-D3-D1
A9,1,0,50,0,B11-B5-C5-C3-D3-D1
01,1,0,53,0,D11-D5-E5-E3-D3-D1
01,1,0,56,0,D11-D5-C5-C3-D3-D1
17,1,0,65,0,F11-F5-E5-E3-D3-D1
17,1,0,65,0,B11-B5-C5-C3-D3-D1
01,1,0,71,0,F11-F5-E5-E3-D3-D1
19,1,0,71,0,B11-B5-C5-C3-D3-D1
B2,5,2,75,0,D11-D5-E5-E3-D3-D1
B2,5,2,76,0,D11-D5-C5-C3-D3-D1
01,1,0,86,0,F11-F5-E5-E3-D3-D1
01,1,0,87,0,B11-B5-C5-C3-D3-D1
A9,1,0,94,0,F11-F5-E5-E3-D3-D1
A9,1,0,94,0,B11-B5-C5-C3-D3-D1
21,1,0,99,0,D11-D5-E5-E3-D3-D1
B2,3,1,107,0,B11-B5-C5-C3-D3-D1
21,1,0,108,0,D11-D5-C5-C3-D3-D1
B2,3,1,116,1,F11-F5-E5-E3-D3-D1
