28,LV10,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
01,1,0,3,0,E1-E8-B8-B10
B1,3,3,9,0,E1-E8-B8-B10
B1,2,3,13,0,E1-E8-B8-B10
B2,2,3,15.5,0,E1-E8-B8-B10
A9,2,6,24,0,A2-B2-B5-D5-D8-B8-B10
01,2,2,30,0,E1-E8-B8-B10
B1,2,2,31,0,A2-B2-B5-D5-D8-B8-B10
B2,2,4,32,0,A2-B2-B5-D5-D8-B8-B10
01,1,0,36,0,E1-E8-B8-B10
O1,1,0,48,0,E1-E5-G5-G10
19,1,0,58,0,E1-E8-B8-B10
B1,6,3,61,0,E1-E8-B8-B10
A9,2,4,61,0,A2-B2-B5-D5-D8-B8-B10
B2,3,6,64.5,0,E1-E8-B8-B10
B2,2,4,66,0,E1-E8-B8-B10
01,1,0,74,0,A2-B2-B5-D5-D8-B8-B10
19,2,6,76,0,A2-B2-B5-D5-D8-B8-B10
O1,2,3,82,0,E1-E5-G5-G10
01,1,0,85,0,A2-B2-B5-D5-D8-B8-B10
A9,1,0,86,0,E1-E5-G5-G10
A9,1,0,105,0,E1-E5-G5-G10
01,2,2,110,0,E1-E8-B8-B10
01,1,0,110,0,A2-B2-B5-D5-D8-B8-B10
01,1,0,110,0,A2-B2-B5-D5-D8-B8-B10
21,1,0,113,0,A2-B2-B5-D5-D8-B8-B10
A9,1,0,114,0,E1-E8-B8-B10
21,1,0,115,0,E1-E8-B8-B10
A9,2,2,118,1,A2-B2-B5-D5-D8-B8-B10
