17,LV1,,,,
敌人编号,敌人个数,出现间隔,出现时间（阶段）,阶段标记,路线
B1,1,0,5,0,C1-C2-E4-E7-C9-C10
B1,2,1,11,0,C1-C2-E4-E7-C9-C10
B1,1,0,15,0,C1-C2-E4-E7-C9-C10
B1,2,0.8,30,0,C1-C2-E4-E7-C9-C10
17,1,0,30,0,C1-C3:15-D3-E4-E7-C9-C10
B1,2,0.8,40,1,C1-C2-E4-E7-C9-C10
D1,1,0,3,0,F1-F3:5-C10
B1,2,0.8,19,0,C1-C2-E4-E7-C9-C10
17,1,0,28,0,C1-C2-E4-E7-C9-C10
D1,1,0,31,0,F1-C4:5-C7:5-C10
B1,2,0.8,35,0,C1-C2-E4-E7-C9-C10
D1,1,0,56.8,0,F1-F3-C10
B1,2,0.8,59.8,0,C1-C2-E4-E7-C9-C10
D1,1,0,71.8,0,F1-F3-C10
B1,2,0.8,72.8,0,C1-C2-E4-E7-C9-C10
D1,1,0,76.8,0,F1-C4:5-C7:5-C10
17,1,0,79.8,1,C1-C2-E4-E7-C9-C10
